#{"t_start": 1718225542.3209193, "env_id": "None"}
r,l,t
-22.0,11,37604.711291
268.0,50,37661.877151
-8.0,13,37677.262457
104.0,29,37710.72898
126.0,31,37746.403502
-10.0,13,37763.227109
32.0,20,37786.406102
36.0,19,37808.46454
36.0,19,37830.457282
34.0,19,37852.525015
-70.0,5,37858.884505
180.0,38,37902.339278
256.0,49,37958.241922
30.0,18,37979.124572
354.0,61,38180.479921
168.0,36,38445.479702
52.0,21,38605.480915
30.0,18,38738.480249
306.0,56,39153.480408
-2.0,14,39257.480764
334.0,60,39705.480167
58.0,22,39871.479337
30.0,18,40009.480763
46.0,22,40175.479705
164.0,39,40466.479821
14.0,16,40587.480546
446.0,97,41290.4807
932.0,161,42484.478936
382.0,68,42979.481233
300.0,56,43390.47922
280.0,53,43784.478736
184.0,46,44056.480359
212.0,44,44384.48021
96.0,29,44440.338499
536.0,92,44545.214149
352.0,78,44634.972924
-6.0,13,44650.286306
36.0,19,44672.605515
274.0,54,44734.727384
408.0,90,44837.434304
106.0,29,44870.651159
-8.0,13,44886.133552
350.0,61,44956.091501
162.0,47,45011.616303
208.0,43,45061.255049
192.0,42,45109.670415
144.0,34,45148.875453
314.0,57,45213.885343
112.0,29,45247.417978
572.0,92,45352.650511
180.0,39,45397.473873
236.0,47,45451.396213
220.0,44,45501.997369
434.0,74,45586.69514
210.0,44,45637.032261
160.0,36,45679.862182
310.0,56,45744.174964
250.0,49,45800.748796
374.0,65,45875.006157
250.0,49,45931.160626
684.0,117,46064.460174
172.0,38,46108.061809
476.0,79,46198.330806
338.0,60,46267.266887
1402.0,221,46517.459216
864.0,138,46675.128046
134.0,33,46713.294017
592.0,117,46846.491743
-70.0,5,46852.858773
322.0,58,46919.536225
280.0,52,46979.807735
430.0,73,47063.716824
292.0,56,47128.066194
76.0,25,47157.285468
266.0,51,47439.481349
512.0,187,48830.158442
848.0,157,49923.480837
312.0,61,50394.480391
206.0,46,50743.480382
182.0,39,50839.317311
122.0,33,50877.611335
146.0,37,50921.616208
210.0,43,50970.85801
170.0,64,51044.185561
610.0,98,51259.480986
238.0,47,51628.480331
258.0,64,51827.616787
366.0,63,51899.465006
616.0,111,52026.046992
210.0,43,52075.603574
122.0,31,52111.18574
174.0,38,52155.978786
1014.0,151,52327.256789
1448.0,233,53495.479779
372.0,65,53983.479116
-40.0,9,54058.47921
168.0,39,54342.480315
98.0,28,54560.480131
14.0,16,54676.480293
204.0,44,55001.480489
878.0,134,55996.479831
630.0,104,56764.481363
188.0,40,57066.479834
-32.0,10,57142.481199
510.0,89,57735.481313
102.0,28,57916.480116
348.0,62,58317.479984
86.0,26,58491.481153
290.0,52,58829.481359
1424.0,206,60148.480618
592.0,94,60755.480655
28.0,18,60872.480725
326.0,57,61246.479925
434.0,80,61767.481163
210.0,42,62053.480857
416.0,77,62556.480064
282.0,55,62911.481131
230.0,49,63233.481019
-32.0,10,63301.480726
612.0,96,63907.48121
108.0,28,64092.480691
220.0,44,64377.481343
482.0,79,64888.481365
354.0,62,65291.48058
452.0,76,65780.480053
146.0,34,66006.481494
640.0,111,66732.480078
382.0,65,67128.105502
348.0,63,67493.48088
88.0,26,67662.481089
364.0,63,68072.480732
352.0,62,68479.480377
112.0,30,68673.48133
324.0,60,69065.480704
318.0,59,69261.41649
370.0,69,69339.435738
416.0,71,69419.741316
1132.0,194,69906.480889
474.0,79,70420.479605
582.0,94,71028.481058
704.0,108,71733.480864
540.0,87,72288.480715
386.0,68,72732.481176
-8.0,13,72821.481208
40.0,20,72954.481129
324.0,58,73329.481292
948.0,152,74327.480642
480.0,78,74839.480737
236.0,47,75147.481396
228.0,47,75456.479954
110.0,30,75652.481894
386.0,68,76095.480229
400.0,70,76568.481389
1430.0,207,77890.024925
1116.0,165,78076.421144
726.0,113,78204.344189
634.0,99,78316.640214
214.0,43,78365.907774
-56.0,7,78374.490146
784.0,120,78510.519109
840.0,134,78661.906523
306.0,56,78725.509311
296.0,54,78787.069396
294.0,54,78850.069979
640.0,107,78971.265775
216.0,43,79020.574722
58.0,22,79045.994362
372.0,64,79118.721966
420.0,70,79447.480755
6.0,15,79560.480767
228.0,49,79933.481312
148.0,41,80251.481401
482.0,97,80977.481259
118.0,32,81219.48158
504.0,94,81949.480088
114.0,30,82181.481122
202.0,42,82440.09284
280.0,55,82502.551661
-2.0,14,82518.853029
420.0,72,82600.552141
218.0,44,82650.738259
362.0,63,82722.354254
76.0,24,82749.820805
76.0,24,82777.465018
146.0,36,83012.481361
390.0,67,83450.480427
432.0,74,83939.48124
260.0,51,84267.48061
520.0,86,84824.481708
648.0,103,85437.551685
948.0,144,86375.481104
492.0,83,86908.479951
862.0,128,87739.480128
40.0,19,87865.481371
160.0,35,88101.481058
-14.0,12,88184.480954
234.0,47,88489.480123
96.0,27,88662.480217
152.0,35,88889.480725
622.0,98,89537.480541
214.0,44,89827.479308
-38.0,9,89894.480581
22.0,17,90007.481285
370.0,64,90427.481246
40.0,19,90555.4798
40.0,19,90678.481086
304.0,55,91037.479803
42.0,20,91169.480486
418.0,70,91626.480026
44.0,20,91759.480249
102.0,30,91955.479769
412.0,81,92476.481292
256.0,49,92794.480393
336.0,59,93174.480732
160.0,35,93405.481207
296.0,54,93751.481414
146.0,34,93978.481261
278.0,53,94318.48033
180.0,39,94575.480069
366.0,64,94987.480456
350.0,65,95419.481142
422.0,71,95887.479328
674.0,103,96546.4804
124.0,30,96743.480077
54.0,21,96882.479748
524.0,84,97419.480213
-28.0,10,97485.481355
62.0,22,97631.47945
728.0,111,98348.480706
158.0,39,98610.479777
-140.0,42,98883.480006
80.0,25,99045.479913
346.0,61,99446.480993
46.0,23,99601.481582
40.0,19,99726.480017
40.0,19,99851.480699
120.0,34,100076.480971
132.0,32,100286.481059
146.0,34,100510.480267
58.0,22,100656.479104
350.0,61,101053.479899
932.0,158,102070.481136
208.0,43,102352.481109
338.0,62,102757.481095
1130.0,170,103854.480462
404.0,69,104298.480416
92.0,28,104482.480741
104.0,28,104670.481284
118.0,30,104872.479882
42.0,20,105005.480209
118.0,30,105204.479243
124.0,32,105418.480427
104.0,28,105600.480494
62.0,24,105760.480768
132.0,32,105969.480295
208.0,43,106250.480235
1176.0,171,107356.480109
544.0,86,107907.48041
86.0,26,108076.480083
104.0,28,108229.041228
280.0,51,108445.481118
0.0,14,108537.478658
88.0,28,108719.481011
324.0,59,109106.479749
514.0,85,109656.481262
116.0,35,109884.48016
790.0,120,110664.480878
222.0,45,110961.481118
146.0,34,111183.480275
42.0,20,111317.481086
186.0,40,111579.48044
172.0,38,111827.480906
344.0,61,112230.479865
382.0,70,112684.481302
152.0,35,112912.481056
-6.0,13,113002.480917
98.0,27,113181.481198
384.0,90,113770.481232
614.0,97,114396.481049
550.0,88,114971.481274
172.0,38,115226.480827
-28.0,10,115295.480514
210.0,44,115577.481213
150.0,37,115819.479288
288.0,55,116177.481733
188.0,39,116425.481137
336.0,63,116845.480552
222.0,44,117136.480747
104.0,28,117324.479859
136.0,33,117543.47988
280.0,52,117879.481809
136.0,32,118090.481123
1466.0,217,119358.480911
694.0,114,119724.434607
302.0,55,119788.377569
-14.0,12,119802.415796
72.0,24,119829.94943
370.0,63,119901.582956
166.0,37,119944.02726
86.0,26,119974.118262
56.0,22,119999.618177
212.0,43,120048.778427
118.0,30,120083.108563
230.0,44,120133.672654
202.0,41,120180.816346
